style,intensity,topic,caption
corporate,0.66,startups,Driving synergies to resolve startups.
sarcastic,0.57,performance reviews,I love how performance reviews ruins everything.
sarcastic,0.46,job applications,I love how job applications ruins everything.
dark,0.38,salary negotiations,"Another day, another round of salary negotiations."
sarcastic,0.47,startups,I love how startups ruins everything.
dark,0.95,interviews,"Another day, another round of interviews."
wholesome,0.94,performance reviews,"performance reviews is hard, but you’re doing your best."
genz,0.34,work-life balance,work-life balance?? nah bestie
sarcastic,0.41,deadlines,"deadlines? Yeah, what could possibly go wrong."
sarcastic,0.54,startups,"Oh sure, because startups always works perfectly."
genz,0.42,college life,college life is literally my villain origin story
dark,0.46,job applications,"Eventually, job applications gets us all."
wholesome,0.85,group projects,You’re stronger than group projects.
genz,0.89,salary negotiations,salary negotiations is literally my villain origin story
genz,0.76,presentations,presentations is literally my villain origin story
wholesome,0.73,monday mornings,"monday mornings is hard, but you’re doing your best."
corporate,0.83,burnout,Optimizing bandwidth to address burnout.
genz,0.47,waking up early,waking up early is literally my villain origin story
dark,0.24,office politics,"Eventually, office politics gets us all."
wholesome,0.75,startups,"startups is hard, but you’re doing your best."
genz,0.2,burnout,me dealing with burnout: absolutely not.
dark,0.89,work-life balance,work-life balance is just a reminder that time is winning.
dark,0.53,college life,college life is just a reminder that time is winning.
corporate,0.74,burnout,Leveraging burnout for improved outcomes.
genz,0.48,emails,me dealing with emails: absolutely not.
sarcastic,0.9,performance reviews,"Oh sure, because performance reviews always works perfectly."
dark,0.99,presentations,"Eventually, presentations gets us all."
genz,0.26,startups,startups is literally my villain origin story
wholesome,0.48,waking up early,You’re stronger than waking up early.
genz,0.79,performance reviews,performance reviews?? nah bestie
dark,0.62,performance reviews,"Eventually, performance reviews gets us all."
dark,0.71,interviews,"Another day, another round of interviews."
sarcastic,0.42,burnout,I love how burnout ruins everything.
dark,0.74,group projects,group projects never forgets. Never forgives.
wholesome,0.7,procrastination,One step at a time with procrastination. You’ve got this.
wholesome,0.32,emails,"emails is hard, but you’re doing your best."
wholesome,0.96,side hustles,One step at a time with side hustles. You’ve got this.
wholesome,0.63,procrastination,"procrastination is hard, but you’re doing your best."
wholesome,0.85,side hustles,You’re stronger than side hustles.
dark,0.79,side hustles,side hustles never forgets. Never forgives.
wholesome,0.63,deadlines,You’re stronger than deadlines.
genz,0.62,deadlines,deadlines is literally my villain origin story
genz,0.4,monday mornings,monday mornings is literally my villain origin story
genz,0.2,procrastination,procrastination but make it emotionally exhausting.
wholesome,0.22,performance reviews,"performance reviews is hard, but you’re doing your best."
dark,0.54,deadlines,"Another day, another round of deadlines."
dark,0.92,burnout,"Eventually, burnout gets us all."
wholesome,0.95,interviews,One step at a time with interviews. You’ve got this.
corporate,0.36,side hustles,Leveraging side hustles for improved outcomes.
sarcastic,0.82,job applications,I love how job applications ruins everything.
corporate,0.77,interviews,Aligning stakeholders around interviews.
genz,0.97,group projects,group projects is literally my villain origin story
sarcastic,1.0,work-life balance,Nothing screams success like work-life balance.
sarcastic,0.27,interviews,"Oh sure, because interviews always works perfectly."
corporate,0.49,procrastination,Aligning stakeholders around procrastination.
genz,0.43,exams,me dealing with exams: absolutely not.
genz,0.97,waking up early,waking up early but make it emotionally exhausting.
genz,0.59,monday mornings,monday mornings but make it emotionally exhausting.
genz,0.85,performance reviews,me dealing with performance reviews: absolutely not.
corporate,0.31,monday mornings,Aligning stakeholders around monday mornings.
genz,0.92,deadlines,deadlines but make it emotionally exhausting.
corporate,0.22,procrastination,Driving synergies to resolve procrastination.
genz,0.22,waking up early,me dealing with waking up early: absolutely not.
wholesome,0.84,performance reviews,One step at a time with performance reviews. You’ve got this.
dark,0.59,presentations,presentations is just a reminder that time is winning.
corporate,0.95,work-life balance,Driving synergies to resolve work-life balance.
wholesome,0.3,deadlines,"No matter what, deadlines doesn’t define your worth."
dark,0.25,procrastination,"Another day, another round of procrastination."
sarcastic,0.25,deadlines,I love how deadlines ruins everything.
wholesome,0.21,salary negotiations,You’re stronger than salary negotiations.
